 k             n
 15            1 
 16            0 
 17            0 
 18            0 
 19            3 
 20            5 
 21            5 
 22            4 
 23            11 
 24            17 
 25            26 
 26            35 
 27            42 
 28            63 
 29            67 
 30            78 
 31            79 
 32            120 
 33            105 
 34            102 
 35            122 
 36            104 
 37            108 
 38            79 
 39            66 
 40            59 
 41            53 
 42            37 
 43            27 
 44            20 
 45            19 
 46            17 
 47            11 
 48            4 
 49            4 
 50            3 
 51            0 
 52            2 
 53            0 
 54            1 
 55            0 
 56            0 
 57            0 
 58            0 
 59            1 
